Na,Na_err,Corr,Br,Br_err,Yng_corr,SNR,Type
1.11,0.91,0.81,2.57,0.53,0.54,17.69,old
5.4,0.78,0.77,0.98,0.26,0.36,20.74,old
5.71,0.8,0.81,0.96,0.22,0.34,20.23,old
2.54,1.45,0.93,2.94,0.87,0.11,10.92,old
7.13,1.42,0.83,1.33,0.46,6.28,11.13,old
5.11,0.71,0.85,0.79,0.18,0.28,22.79,old
4.09,0.81,0.75,1.57,0.38,0.44,19.95,old
4.91,0.72,0.85,0.86,0.19,0.29,22.54,old
2.0,0.87,0.64,3.21,1.43,0.32,18.55,old
2.19,1.12,0.51,1.26,0.59,0.25,14.27,old
2.95,0.84,0.84,1.25,0.3,0.45,19.18,old
4.21,0.92,0.64,1.16,0.33,0.41,17.49,old
4.08,0.63,0.83,0.74,0.17,0.39,25.99,old
3.69,0.82,0.73,1.01,0.21,0.93,19.68,old
3.51,0.67,0.75,1.98,0.46,16.72,24.2,old
4.93,0.66,0.84,1.48,0.56,0.22,24.82,old
3.83,0.67,0.85,0.7,0.18,59.95,24.17,old
4.14,0.63,0.88,0.83,0.17,48.36,26.02,old
5.4,1.31,0.9,0.64,0.27,0.22,12.09,old
4.81,0.62,0.87,1.62,0.39,0.31,26.37,old
4.3,0.64,0.83,0.37,0.18,0.28,25.54,old
4.15,0.68,0.86,1.86,0.54,2.47,23.98,old
4.75,0.57,0.86,2.08,0.48,0.36,28.8,old
5.82,0.75,0.93,1.43,0.5,0.21,21.72,old
5.76,0.75,0.88,1.0,0.23,0.34,21.54,old
5.35,0.76,0.9,1.1,0.25,4.57,21.47,old
4.64,0.75,0.78,-1.48,0.34,4.0,21.68,old
5.14,0.61,0.89,0.47,0.14,0.22,26.69,old
5.04,0.78,0.88,0.54,0.15,0.31,20.76,old
5.18,0.62,0.91,0.72,0.15,0.31,26.23,old
5.5,0.65,0.93,0.61,0.16,0.21,25.01,old
2.06,1.1,0.61,1.57,0.4,0.38,14.56,old
4.67,0.81,0.66,1.22,0.35,0.3,20.01,old
4.76,2.12,0.58,1.45,0.48,-2.55,7.33,old
4.17,2.27,0.76,6.09,1.72,0.75,6.83,old
2.56,1.07,0.53,1.74,0.62,0.29,14.89,old
3.0,1.45,0.81,3.42,0.86,0.47,10.88,old
0.77,0.36,0.48,0.77,0.21,0.41,46.69,old
5.0,1.46,0.83,1.68,0.88,0.44,10.82,old
-1.05,0.87,0.31,0.71,0.69,1.13,18.52,old
4.9,0.84,0.64,3.16,0.77,0.41,19.24,old
2.9,1.13,0.52,3.0,0.77,34.6,14.13,old
3.95,0.67,0.7,2.29,0.61,15.59,24.42,old
2.56,0.72,0.52,1.04,0.24,0.35,22.57,old
4.51,0.6,0.78,1.56,0.39,0.29,27.53,old
5.88,1.22,0.63,3.21,0.59,0.38,13.08,old
6.09,0.77,0.84,1.57,0.27,0.38,20.97,old
5.81,0.89,0.69,2.99,1.02,0.29,18.01,old
4.49,1.52,0.94,4.9,1.43,0.63,10.33,old
6.85,0.79,0.9,1.25,0.23,0.47,20.56,old
5.34,0.66,0.93,0.52,0.15,0.32,24.53,old
5.71,0.98,0.69,1.48,0.35,0.28,16.38,old
5.54,0.74,0.84,1.73,0.3,0.43,21.94,old
2.35,2.41,0.76,16.26,7.89,161.95,6.42,old
2.84,0.94,0.68,3.36,0.86,0.35,17.1,old
4.86,0.85,0.63,2.71,0.84,1.71,18.9,old
3.68,1.3,0.84,5.97,1.12,0.28,12.2,old
1.87,0.38,0.7,0.63,0.14,0.57,43.36,old
5.2,0.68,0.9,-0.35,0.16,0.34,24.12,old
3.98,0.58,0.77,1.31,0.45,0.32,28.16,old
3.17,1.38,0.8,1.81,0.47,0.34,11.43,old
3.18,0.58,0.71,1.07,0.29,1.24,28.37,old
3.56,4.6,0.79,32.11,16.01,160.14,3.27,old
4.54,0.58,0.83,-0.84,0.17,0.43,28.5,old
3.7,1.09,0.6,3.58,1.43,81.79,14.61,old
4.14,0.84,0.63,3.79,0.33,0.77,19.22,old
5.21,0.68,0.91,0.45,0.14,0.08,23.94,old
1.56,0.73,0.72,1.56,0.25,0.6,22.2,old
13.1,4.32,0.57,4.88,1.45,0.13,3.49,old
3.83,0.65,0.73,-0.48,0.25,0.35,25.11,old
4.16,0.67,0.81,0.61,0.18,5.62,24.51,old
4.41,0.91,0.83,3.46,0.3,0.74,17.77,old
4.01,0.92,0.77,1.18,0.44,0.42,17.43,old
4.17,1.36,0.65,3.46,0.59,0.46,11.65,old
5.02,3.2,0.76,8.31,5.56,80.93,4.77,old
3.27,0.93,0.53,4.7,0.96,0.39,17.25,old
3.43,1.31,0.87,3.84,1.19,1.71,12.13,old
2.97,1.91,0.91,10.33,3.09,0.33,8.16,old
3.87,2.6,0.47,8.29,6.2,106.06,5.92,old
5.83,1.23,0.56,1.12,0.64,0.23,12.97,old
6.73,0.83,0.86,0.48,0.49,0.3,19.41,old
2.64,0.72,0.91,2.83,0.49,0.59,22.44,old
5.34,0.79,0.73,4.08,0.83,12.89,20.59,old
1.77,0.67,0.78,1.42,0.17,0.7,24.5,old
1.12,1.51,0.65,1.35,0.53,0.05,10.46,old
4.48,0.76,0.75,2.59,0.59,0.83,21.2,old
3.49,1.32,0.76,-1.08,0.47,0.3,12.05,old
3.03,1.02,0.67,11.07,6.65,0.44,15.65,old
2.67,1.07,0.67,3.61,1.65,0.24,14.98,old
3.16,1.36,0.66,5.69,1.15,0.14,11.63,old
4.45,4.28,0.37,-2.41,1.04,0.03,3.52,old
2.99,1.76,0.5,6.72,4.14,6.65,8.89,old
5.12,0.66,0.92,0.63,0.16,0.16,24.77,old
5.57,0.71,0.93,0.83,0.2,0.26,23.04,old
6.6,1.39,0.79,1.93,0.58,0.28,11.35,old
3.8,1.07,0.51,1.55,0.62,0.34,14.92,old
2.72,0.54,0.75,0.55,0.21,0.21,30.59,old
3.92,1.29,0.56,0.62,0.32,0.2,12.26,old
5.23,0.74,0.92,0.62,0.18,0.19,21.86,old
5.96,0.92,0.9,1.24,0.23,0.09,17.53,old
0.87,0.33,0.64,0.81,0.21,0.43,51.13,old
2.14,1.75,0.63,3.31,1.43,-0.02,8.92,old
4.48,0.62,0.76,0.75,0.16,0.22,26.46,old
3.31,1.7,0.65,6.75,0.7,0.52,9.21,old
4.54,0.83,0.78,0.74,0.44,0.25,19.58,old
4.44,0.82,0.69,2.12,0.5,0.42,19.66,old
3.79,0.67,0.71,0.53,0.19,0.4,24.32,old
6.02,0.86,0.77,1.68,0.2,0.45,18.74,old
2.36,0.9,0.73,1.25,0.31,0.5,17.97,old
4.59,1.0,0.74,1.61,0.52,0.33,16.01,old
5.84,1.04,0.67,3.84,1.22,41.66,15.45,old
4.42,0.88,0.61,2.27,0.77,0.36,18.23,old
3.81,0.98,0.65,1.65,0.59,0.39,16.36,old
4.65,0.72,0.72,2.27,0.48,0.62,22.5,old
4.4,1.05,0.53,1.24,0.4,0.3,15.2,old
3.95,0.91,0.64,3.04,0.68,0.5,17.78,old
4.67,0.89,0.52,9.17,1.49,0.52,18.19,old
5.64,0.78,0.89,0.78,0.17,0.28,20.81,old
5.76,1.49,0.5,-0.48,0.14,0.3,10.56,old
5.81,0.73,0.92,0.75,0.2,12.21,22.37,old
5.14,0.92,0.72,3.74,0.67,0.56,17.46,old
5.52,0.89,0.82,0.0,0.0,93125.15,18.14,old
3.74,1.3,0.53,2.9,1.61,0.24,12.24,old
3.45,1.37,0.83,5.69,1.08,0.43,11.54,old
3.12,1.65,0.76,16200.08,2829647.25,0.9,9.52,old
4.08,1.11,0.69,4.08,1.13,0.81,14.41,old
4.0,0.73,0.8,3.15,0.7,0.47,22.4,old
4.79,0.7,0.84,3.56,0.84,0.4,23.35,old
5.28,0.72,0.88,0.63,0.19,0.38,22.59,old
3.29,1.33,0.52,-5.51,6.7,0.3,11.87,old
3.82,0.65,0.81,-0.56,0.2,0.16,25.12,old
5.63,0.87,0.81,1.07,0.27,4.6,18.62,old
4.55,0.93,0.7,1.64,0.34,0.51,17.21,old
4.82,1.01,0.79,0.89,0.26,0.2,15.85,old
5.19,0.8,0.91,12.75,10.73,4.68,20.34,old
6.82,0.8,0.9,1.38,0.39,0.3,20.21,old
6.28,1.07,0.84,6.23,1.62,0.16,14.92,old
4.78,1.81,0.7,1.76,0.26,0.35,8.62,old
6.12,0.88,0.9,0.86,0.22,0.27,18.32,old
5.46,0.83,0.89,0.97,0.22,0.24,19.4,old
4.52,0.92,0.63,1.3,0.55,0.07,17.57,old
4.24,1.02,0.84,2.46,0.91,0.4,15.71,old
3.83,0.84,0.78,2.59,0.82,0.41,19.19,old
4.42,1.59,0.75,2.15,0.82,0.88,9.89,old
2.95,1.01,0.78,2.01,0.3,0.46,15.8,old
